"Add Recipient","Додати отримувача"
"Allow for Guests","Дозволити без реєстрації"
"Email Address","Адреса електропошти"
"Email Address:","Адреса електропошти:"
"Email templates","Шаблони електронних листів"
"Email to a Friend","Надіслати другові"
"Email:","Електропошта:"
"Enabled","Увімкнено"
"Limit Sending By","Обмеження кількість листів"
"Link to a friend was sent.","Ланку другові успішно відіслано."
"Max Products Sent in 1 Hour","Максимальна кількість виробів, що можна надіслати протягом 1 години"
"Max Recipients","Максимальна кількість одержувачів"
"Maximum %d email addresses allowed.","Максимально дозволено %d адрес електропошти."
"Message:","Повідомлення:"
"Name","Назва"
"Name:","Назва:"
"Recipient:","Отримувач:"
"Remove Email","Видалити електропошту"
"Select email template","Виберіть шаблон електронного листа"
"Send email","Надіслати листа"
"Send product to a friend","Надіслати цей виріб другові листом"
"Sender:","Відправник:"
"Some emails was not sent","Деякі листи не були надіслані"
"Some problems with data.","Проблеми з даними."
"You cannot email this product to a friend","Ви не можете надіслати другові листа з цим виробом"
"You cannot send more than %d times in an hour","Ви не можете надсилати понад %d листів на годину"
