"-- Please select --","-- Виберіть --"
"Allowed currencies","Дозволені валюти"
"Base currency","Основна валюта"
"Cannot retrieve rate from %s","Видобування курсу з %s пішли марно"
"Connection timeout in seconds","Макс. термін очікування з’єднання у секундах"
"Continue &raquo;","Продовжити &raquo;"
"Country","Країна"
"Country Api","Api країни"
"Country and Format Type combination should be unique","Комбінація країни та типу формату повинні бути унікальні"
"Currency","Валюта"
"Currency Options","Варіянти валюти"
"Currency Setup","Встановлення валюти"
"Currency Update Warnings","Попередження про оновлення валюти"
"Currency will be used for all online payment transactions","Валюту буде використано для усіх оперативних платежів"
"Default display currency","Валюта цінників за промовчанням"
"Directory","Каталог"
"Enabled","Показувати"
"Error Email Recipient","Адреса отримувача електронного листа про помилки"
"Error Email Sender","Відправник електронного листа про помилки"
"Error Email Template","Шаблон електронного листа про помилки"
"FATAL ERROR:","НЕВИПРАВНА ПОМИЛКА:"
"Frequency","Періодичність"
"Installed Currencies","Установлені валюти"
"Invalid Import Service Specified","Визначена невірна послуга імпорту"
"Invalid country code: %s","Невірний код країни: %s"
"Invalid rates received","Отримані невірні курси"
"Invalid target currency","Невірна валюта призначення"
"List of countries","Список країн"
"List of regions in specified country","Список областей в означеній країні"
"Region","Регіон"
"Region Api","Api регіону"
"Remove space from currency sign","Видалити пробіл біля знаку валюти"
"Scheduled Import Settings","Налаштування графіку імпортування"
"Select Your Currency","Виберіть свою валюту"
"Service","Постачальник"
"Start Time","Момент запуску"
"State/Province","Область"
"Strikeiron Email Update Warnings","Попередження про оновлення електропошти для облікового запису у Strikeiron"
"Unable to initialize import model","Ініціалізування моделі імпорту пішли марно"
"Undefined rate from ""%s-%s""","Невизначений курс з ""%s-%s"""
"WARNING:","УВАГА:"
"Webservicex","Webservicex"
"Your current currency is: %s","Ваша поточна валюта: %s"
